index_col,content,date,like,place,tags
761,#캘리그라피연습#캘리초보자#캘리입문#나는가장이니까#다이소종이액자#방콕취미생활#코로나후유증,2020-02-11,17,,"['#캘리그라피연습', '#캘리초보자', '#캘리입문', '#나는가장이니까', '#다이소종이액자', '#방콕취미생활', '#코로나후유증']"
760,#아기동영상 옷만 입어도 좋다는데..우리만 집에 있나봐 시은아..😭영상찍다 보니 시으니보다 내가 더 이상해진것 같기도 하고 ㅋㅋㅋㅋㅋㅋ#코로나후유증 😭😭오늘 시니 본 이모탐툔들 그냥 한번 웃고 가세요^^;-사진 끝까지 봐야 엄마 최애가 나와요💙#주먹꽉 #불주먹 하루빨리 깨끗한 공기 마시며뛰어놀수 있는 날이 되길🌸내강아지랑 손잡고 꽃구경도 다니고 예쁜추억 만들수있게 해주세요🙏🏻,2020-02-12,69,,"['#아기동영상', '#코로나후유증', '#주먹꽉', '#불주먹']"
759,꼬마요정의 창밖의공기갈망코로나의 후유증#코로나후유증#꼬마요정#그리운밖에세상#,2020-02-14,4,,"['#코로나후유증', '#꼬마요정', '#그리운밖에세상']"
758,오랜만의 여유#코로나후유증#외출이필요해,2020-02-18,40,스타벅스 안양역r점,"['#코로나후유증', '#외출이필요해']"
755,#코로나후유증 #낮술 #수라매생이칼국수 위로주 한자누건네며...😭#예쁜그릇창고 #대구그릇 #그릇,2020-02-21,43,,"['#코로나후유증', '#낮술', '#수라매생이칼국수', '#예쁜그릇창고', '#대구그릇', '#그릇']"
756,-집콕을하니 점점 아이들도 이상해지고잇음ㅋㅋㅋㅋㅋ하루종일 저렇게 이상한노래와 춤비슷한 이상한걸하고주체가안됨.......내가 병이나지싶다...😭😭😭..#인스타베이비 #애스타그램 #아들스타그램 #아들 #베이비스타그램 #베이비 #럽스타그램 #셀스타그램 #얼스타그램 #셀카 #셀피 #맞팔 #데일리 #일상 #세젤예 #세젤귀 #육아스타그램 #육아 #육아소통 #사랑해 #불금 #형제스타그램 #형제샷 #아들둘 #집콕 #코로나후유증 #미세먼지후유증 #중국이문제,2020-02-21,0,,"['#인스타베이비', '#애스타그램', '#아들스타그램', '#아들', '#베이비스타그램', '#베이비', '#럽스타그램', '#셀스타그램', '#얼스타그램', '#셀카', '#셀피', '#맞팔', '#데일리', '#일상', '#세젤예', '#세젤귀', '#육아스타그램', '#육아', '#육아소통', '#사랑해', '#불금', '#형제스타그램', '#형제샷', '#아들둘', '#집콕', '#코로나후유증', '#미세먼지후유증', '#중국이문제']"
757,".실제상황!!!저기요~아무거나 펌핑 하시면 안되요 @.@.정말 빵터짐~~~~한바탕 웃고 난 후, 이런 사람 꼭 있을거란 생각에연출 사진 다시 찍음 ㅎㅎ.모두 정신 차리라우~ .#한바탕웃음으로 #코로나후유증 #코로나저리가",2020-02-21,35,,"['#한바탕웃음으로', '#코로나후유증', '#코로나저리가']"
753,#면역력증대효과#체온올리기#셀프쑥뜸#건강관리#코로나후유증#혼자서도잘해요#대구서구쑥뜸#쑥뜸명가내당점#여유롭게 하는뜸,2020-02-24,6,,"['#면역력증대효과', '#체온올리기', '#셀프쑥뜸', '#건강관리', '#코로나후유증', '#혼자서도잘해요', '#대구서구쑥뜸', '#쑥뜸명가내당점', '#여유롭게']"
754,"..아침ㅡ쿠키쉐이크+리빌드점심ㅡ돼지고기볶음,감자볶음,숙주나물  미역국,다슬기국저녁ㅡ뭐 해주세요??.아~~일하러 밖에 가고싶다...#코로나#집콕#방콕#가고싶다#4일차#냉파#보드게임방#WLII#설겆이#무한반복",2020-02-24,75,,"['#코로나', '#집콕', '#방콕', '#가고싶다', '#4일차', '#냉파', '#보드게임방', '#WLII', '#설겆이', '#무한반복']"
749,"#코로나후유증아들놈들은저녁에유부초밥을먹었다.그전에아이스크림을하나씩먹었다.밥먹은후딸기를또먹었다.그다음막대사탕을또먹었다.끝인줄알았다.이번에피자가먹고싶단다.다행이재료가있다.구웠다.첫째는한입먹고안먹고,둘째는올리브만골라먹었다.나머지는내차지...이와중에맛은있다.젠장.살이점점찌고있는듯한느낌이다.감금되어있으니살만찐다.애나어른이나..빌어먹을..#필라테스도휴강#여기저기다휴강#재앙#체중증가☠☠☠☠☠",2020-02-25,20,,"['#코로나후유증아들놈들은저녁에유부초밥을먹었다.그전에아이스크림을하나씩먹었다.밥먹은후딸기를또먹었다.그다음막대사탕을또먹었다.끝인줄알았다.이번에피자가먹고싶단다.다행이재료가있다.구웠다.첫째는한입먹고안먹고', '#필라테스도휴강', '#여기저기다휴강', '#재앙', '#체중증가☠☠☠☠☠']"
750,#먹어말어 막창 보고 설레다니 #코로나후유증 #😂...#막창 #설레임 #피코크 #피코크막창 #피코크추천 #피콕포차 #훈제막창 #코로나일기 #감금6일째 #감금생활일기 #감금중#코로나19 #코로나바이러스 #코로나 #대구 #장자매 #딸둘 #자매맘 #딸둘맘 #엄마일상 #주부일상 #대구수학학원 #수성구수학학원 #범어동수학학원 #만촌동수학학원 #시지수학학원,2020-02-25,38,,"['#먹어말어', '#코로나후유증', '#😂...', '#막창', '#설레임', '#피코크', '#피코크막창', '#피코크추천', '#피콕포차', '#훈제막창', '#코로나일기', '#감금6일째', '#감금생활일기', '#감금중', '#코로나19', '#코로나바이러스', '#코로나', '#대구', '#장자매', '#딸둘', '#자매맘', '#딸둘맘', '#엄마일상', '#주부일상', '#대구수학학원', '#수성구수학학원', '#범어동수학학원', '#만촌동수학학원', '#시지수학학원']"
751,"#코로나후유증#집콕8일째저번주 화요일부터 자진방콕공룡젤리 머리와 꼬리부분잘라서 입술에 붙이고 있길래""뭐하는거냐"" 물으니아까워 붙여놓고 조금씩 떼먹겠단다손수 부엌에 들어오셔서 설겆이와 개수대청소 하며시간죽이기!용트림 하던 시기가 지나니포기하고 적응중지난주 금욜에 주문한 #건담그리고 엄마간식 #쫀득이 온다는 소식에  미친듯이 소리지르고 셀카질 ㅋㅋ눈은 티비 코로나방송손은피아노멀티가 가능하니 좋것다만엄만 속시끄럽고 정신없을뿐방에서 조용하길래클립으로 안경줄만들었다며나름 시간보내는 방법을 터득중이젠 폰 블루투스 연결해서 지 좋인하는 노래 할죙일 반복너의하루를 맞춰주고 있으려니이엄만 하루 1년씩 늙어가는군하얼마전 드립용 전기포트 주전자 하나 구입그걸로 분위기있는 커피한잔으로시름 잠시 잊어버리네 그려오늘은 D-day!조금있으면 로켓배송으로 도착건담 5개주문한것중 하나가 온단다최소한 3일즐길꺼리는 확보#코로나가_멀쩡한_사람도_잡겠다#이젠_확진자_늘어가도_덤덤하네내일 먹거리 걱정보다내일 집에서 뭐하고 놀아줘야되지 그걱정! 이럴땐 형제가 있음 좋것네",2020-02-25,41,,"['#코로나후유증', '#집콕8일째저번주', '#건담그리고', '#쫀득이', '#코로나가_멀쩡한_사람도_잡겠다', '#이젠_확진자_늘어가도_덤덤하네내일']"
