index,date,writing
1,2020-01-22,1
2,2020-02-03,1
3,2020-02-07,1
4,2020-02-08,1
5,2020-02-10,1
6,2020-02-17,1
7,2020-02-23,1
8,2020-02-25,1
9,2020-02-26,1
10,2020-02-26,3
11,2020-02-27,2
12,2020-02-28,1
13,2020-02-29,1
14,2020-03-02,3
15,2020-03-03,1
16,2020-03-04,2
17,2020-03-05,1
18,2020-03-09,2
19,2020-03-11,2
20,2020-03-13,2
21,2020-03-16,1
22,2020-03-17,1
23,2020-03-18,2
24,2020-03-19,2
25,2020-03-20,2
26,2020-03-22,3
27,2020-03-23,4
28,2020-03-24,4
29,2020-03-25,2
30,2020-03-27,1
31,2020-03-28,2
32,2020-03-29,4
33,2020-03-30,2
34,2020-03-31,2
35,2020-04-01,2
36,2020-04-02,2
37,2020-04-03,1
38,2020-04-04,1
39,2020-04-04,2
40,2020-04-05,1
41,2020-04-06,1
42,2020-04-06,1
43,2020-04-11,2
44,2020-04-13,1
45,2020-04-13,2
46,2020-04-15,2
47,2020-04-16,2
48,2020-04-18,1
49,2020-04-19,2
50,2020-04-20,1
51,2020-04-21,1
52,2020-04-22,1
53,2020-04-23,1
54,2020-04-23,1
55,2020-04-24,3
56,2020-04-25,1
57,2020-04-25,1
58,2020-04-26,2
59,2020-04-27,2
60,2020-04-29,1
61,2020-04-30,2
62,2020-05-01,2
63,2020-05-02,1
64,2020-05-02,1
65,2020-05-03,3
66,2020-05-04,1
67,2020-05-05,1
68,2020-05-06,1
69,2020-05-10,2
70,2020-05-12,1
71,2020-05-13,2
72,2020-05-14,1
73,2020-05-15,3
74,2020-05-16,3
75,2020-05-18,1
76,2020-05-19,2
77,2020-05-24,1
78,2020-05-25,1
79,2020-05-27,3
80,2020-05-28,1
81,2020-05-29,1
82,2020-05-30,1
83,2020-05-31,3
84,2020-06-01,1
85,2020-06-03,1
86,2020-06-05,3
87,2020-06-06,1
88,2020-06-07,4
89,2020-06-08,2
90,2020-06-10,1
91,2020-06-11,1
92,2020-06-12,1
93,2020-06-12,1
94,2020-06-12,1
95,2020-06-13,1
96,2020-06-15,1
97,2020-06-16,2
98,2020-06-17,3
99,2020-06-18,1
100,2020-06-19,1
101,2020-06-19,2
102,2020-06-20,1
103,2020-06-21,1
104,2020-06-23,1
105,2020-06-23,1
106,2020-06-24,1
107,2020-06-25,1
108,2020-06-26,1
109,2020-06-27,1
110,2020-06-28,1
111,2020-06-28,1
112,2020-06-30,3
113,2020-07-01,1
114,2020-07-01,1
115,2020-07-03,1
116,2020-07-08,1
117,2020-07-10,1
118,2020-07-11,2
119,2020-07-16,1
120,2020-07-17,2
121,2020-07-19,1
122,2020-07-20,2
123,2020-07-21,1
124,2020-07-21,1
125,2020-07-22,2
126,2020-07-23,1
127,2020-07-24,2
128,2020-07-25,2
129,2020-07-26,2
130,2020-07-28,2
131,2020-07-29,3
132,2020-07-31,1
133,2020-08-02,2
134,2020-08-05,4
135,2020-08-06,2
136,2020-08-07,2
137,2020-08-08,1
138,2020-08-09,1
139,2020-08-11,1
140,2020-08-12,1
141,2020-08-13,1
142,2020-08-18,2
143,2020-08-18,3
144,2020-08-19,8
145,2020-08-19,5
146,2020-08-19,1
147,2020-08-19,1
148,2020-08-20,6
149,2020-08-20,3
150,2020-08-20,3
151,2020-08-21,1
152,2020-08-21,3
153,2020-08-22,2
154,2020-08-22,1
155,2020-08-23,2
156,2020-08-23,1
157,2020-08-23,1
158,2020-08-24,2
159,2020-08-24,4
160,2020-08-24,3
161,2020-08-25,4
162,2020-08-25,7
163,2020-08-25,2
164,2020-08-25,1
165,2020-08-26,4
166,2020-08-26,1
167,2020-08-26,1
168,2020-08-26,4
169,2020-08-27,1
170,2020-08-27,3
171,2020-08-28,4
172,2020-08-28,3
173,2020-08-29,2
174,2020-08-29,1
175,2020-08-29,1
176,2020-08-30,1
177,2020-08-30,4
178,2020-08-31,3
179,2020-08-31,4
180,2020-09-01,1
181,2020-09-01,3
182,2020-09-02,1
183,2020-09-02,4
184,2020-09-03,2
185,2020-09-03,17
186,2020-09-03,2
187,2020-09-04,3
188,2020-09-05,1
189,2020-09-05,1
190,2020-09-06,1
191,2020-09-06,1
192,2020-09-06,1
193,2020-09-07,1
194,2020-09-07,1
195,2020-09-07,1
196,2020-09-08,1
197,2020-09-08,1
198,2020-09-09,2
199,2020-09-09,4
200,2020-09-09,3
201,2020-09-10,2
202,2020-09-10,2
203,2020-09-11,2
204,2020-09-11,1
205,2020-09-11,1
206,2020-09-12,2
207,2020-09-13,1
208,2020-09-13,4
209,2020-09-14,1
210,2020-09-14,2
211,2020-09-15,2
212,2020-09-16,1
213,2020-09-16,2
214,2020-09-17,1
215,2020-09-17,1
216,2020-09-17,2
217,2020-09-18,2
218,2020-09-18,1
219,2020-09-19,1
220,2020-09-21,2
