"행정구역","2020년02월_계_총인구수","2020년02월_계_연령구간인구수","2020년02월_계_0~9세","2020년02월_계_10~19세","2020년02월_계_20~29세","2020년02월_계_30~39세","2020년02월_계_40~49세","2020년02월_계_50~59세","2020년02월_계_60~69세","2020년02월_계_70~79세","2020년02월_계_80~89세","2020년02월_계_90~99세","2020년02월_계_100세 이상","2020년02월_남_총인구수","2020년02월_남_연령구간인구수","2020년02월_남_0~9세","2020년02월_남_10~19세","2020년02월_남_20~29세","2020년02월_남_30~39세","2020년02월_남_40~49세","2020년02월_남_50~59세","2020년02월_남_60~69세","2020년02월_남_70~79세","2020년02월_남_80~89세","2020년02월_남_90~99세","2020년02월_남_100세 이상","2020년02월_여_총인구수","2020년02월_여_연령구간인구수","2020년02월_여_0~9세","2020년02월_여_10~19세","2020년02월_여_20~29세","2020년02월_여_30~39세","2020년02월_여_40~49세","2020년02월_여_50~59세","2020년02월_여_60~69세","2020년02월_여_70~79세","2020년02월_여_80~89세","2020년02월_여_90~99세","2020년02월_여_100세 이상"
"전국  (0000000000)","51,844,627","51,844,627","4,134,824","4,920,794","6,786,097","7,026,850","8,397,417","8,666,798","6,385,073","3,612,980","1,656,304","236,899","20,591","25,860,491","25,860,491","2,121,276","2,548,669","3,566,210","3,613,439","4,267,738","4,368,908","3,121,885","1,617,877","575,717","53,803","4,969","25,984,136","25,984,136","2,013,548","2,372,125","3,219,887","3,413,411","4,129,679","4,297,890","3,263,188","1,995,103","1,080,587","183,096","15,622"
"서울특별시  (1100000000)","9,736,962","9,736,962","658,355","813,563","1,455,903","1,505,729","1,563,968","1,539,385","1,200,518","688,818","263,939","40,404","6,380","4,745,133","4,745,133","338,085","417,723","711,372","753,110","775,014","754,816","567,502","314,041","101,239","10,586","1,645","4,991,829","4,991,829","320,270","395,840","744,531","752,619","788,954","784,569","633,016","374,777","162,700","29,818","4,735"
"부산광역시  (2600000000)","3,410,925","3,410,925","241,624","281,120","434,692","431,911","518,321","580,966","511,174","285,602","109,312","14,396","1,807","1,673,266","1,673,266","123,987","145,587","227,372","220,696","260,736","281,287","242,854","128,371","38,821","3,158","397","1,737,659","1,737,659","117,637","135,533","207,320","211,215","257,585","299,679","268,320","157,231","70,491","11,238","1,410"
"대구광역시  (2700000000)","2,432,883","2,432,883","186,623","234,528","321,487","303,397","391,997","428,622","311,274","171,217","74,227","8,817","694","1,202,364","1,202,364","95,689","122,869","172,608","156,980","193,446","209,933","148,428","74,464","25,843","1,944","160","1,230,519","1,230,519","90,934","111,659","148,879","146,417","198,551","218,689","162,846","96,753","48,384","6,873","534"
"인천광역시  (2800000000)","2,954,955","2,954,955","239,941","281,097","405,835","417,708","490,716","515,758","344,843","172,269","74,306","11,574","908","1,481,133","1,481,133","123,156","144,682","211,891","215,666","250,529","258,011","171,118","78,036","25,252","2,548","244","1,473,822","1,473,822","116,785","136,415","193,944","202,042","240,187","257,747","173,725","94,233","49,054","9,026","664"
"광주광역시  (2900000000)","1,456,121","1,456,121","125,396","162,728","207,554","191,432","244,903","234,048","155,056","91,020","38,050","5,529","405","720,686","720,686","64,441","84,584","108,342","97,291","121,575","115,911","73,842","40,255","13,188","1,206","51","735,435","735,435","60,955","78,144","99,212","94,141","123,328","118,137","81,214","50,765","24,862","4,323","354"
"대전광역시  (3000000000)","1,473,125","1,473,125","120,476","151,861","212,143","199,106","242,381","243,526","170,291","88,289","39,190","5,523","339","735,791","735,791","61,932","78,689","111,597","103,296","120,944","121,171","82,946","39,928","13,951","1,257","80","737,334","737,334","58,544","73,172","100,546","95,810","121,437","122,355","87,345","48,361","25,239","4,266","259"
"울산광역시  (3100000000)","1,145,710","1,145,710","103,399","115,623","147,745","158,271","190,698","211,255","136,520","57,438","21,610","2,991","160","588,626","588,626","53,190","61,034","82,723","83,639","96,746","107,786","69,028","26,988","6,977","484","31","557,084","557,084","50,209","54,589","65,022","74,632","93,952","103,469","67,492","30,450","14,633","2,507","129"
"세종특별자치시  (3600000000)","343,788","343,788","47,454","40,574","36,273","61,442","65,714","42,907","27,813","13,609","6,863","1,084","55","171,403","171,403","24,284","20,355","18,347","29,923","33,778","22,191","13,798","6,184","2,287","246","10","172,385","172,385","23,170","20,219","17,926","31,519","31,936","20,716","14,015","7,425","4,576","838","45"
"경기도  (4100000000)","13,265,377","13,265,377","1,178,548","1,347,854","1,769,080","1,917,785","2,299,179","2,205,106","1,422,638","742,296","330,231","48,650","4,010","6,672,706","6,672,706","603,777","694,030","930,000","985,563","1,167,869","1,118,496","706,269","335,460","118,498","11,672","1,072","6,592,671","6,592,671","574,771","653,824","839,080","932,222","1,131,310","1,086,610","716,369","406,836","211,733","36,978","2,938"
"강원도  (4200000000)","1,539,521","1,539,521","108,694","141,975","179,813","169,694","227,950","269,666","226,444","135,668","68,321","10,493","803","774,358","774,358","55,664","74,087","100,658","88,713","117,543","138,104","112,474","60,545","23,927","2,388","255","765,163","765,163","53,030","67,888","79,155","80,981","110,407","131,562","113,970","75,123","44,394","8,105","548"
"충청북도  (4300000000)","1,598,599","1,598,599","128,290","153,119","198,910","198,768","243,982","273,857","209,926","119,037","63,513","8,656","541","809,805","809,805","65,526","79,845","110,377","104,946","126,554","140,698","104,938","53,233","21,590","1,945","153","788,794","788,794","62,764","73,274","88,533","93,822","117,428","133,159","104,988","65,804","41,923","6,711","388"
"충청남도  (4400000000)","2,120,995","2,120,995","179,808","206,578","243,748","276,553","329,789","340,568","264,305","167,339","97,941","13,481","885","1,081,153","1,081,153","92,163","107,267","134,033","148,441","175,745","179,212","131,499","75,193","34,252","3,147","201","1,039,842","1,039,842","87,645","99,311","109,715","128,112","154,044","161,356","132,806","92,146","63,689","10,334","684"
"전라북도  (4500000000)","1,815,112","1,815,112","135,297","180,675","212,339","195,971","274,471","303,074","244,901","165,445","89,352","12,770","817","902,365","902,365","69,401","93,659","114,347","100,972","141,899","156,239","120,763","72,364","29,695","2,861","165","912,747","912,747","65,896","87,016","97,992","94,999","132,572","146,835","124,138","93,081","59,657","9,909","652"
"전라남도  (4600000000)","1,861,894","1,861,894","137,868","172,888","202,760","193,083","265,366","317,226","259,385","191,719","105,793","14,984","822","934,900","934,900","70,370","89,867","112,492","101,654","142,204","169,281","130,096","82,793","33,003","3,021","119","926,994","926,994","67,498","83,021","90,268","91,429","123,162","147,945","129,289","108,926","72,790","11,963","703"
"경상북도  (4700000000)","2,658,956","2,658,956","198,214","233,506","291,097","303,472","390,995","464,427","389,498","238,482","130,716","17,589","960","1,338,907","1,338,907","102,185","123,159","163,777","161,599","204,213","239,749","192,745","104,923","42,709","3,647","201","1,320,049","1,320,049","96,029","110,347","127,320","141,873","186,782","224,678","196,753","133,559","88,007","13,942","759"
"경상남도  (4800000000)","3,358,828","3,358,828","282,751","331,566","384,750","418,383","543,911","585,186","435,315","240,111","119,977","16,139","739","1,690,600","1,690,600","145,523","173,808","212,885","218,253","280,402","298,134","216,382","104,964","36,955","3,143","151","1,668,228","1,668,228","137,228","157,758","171,865","200,130","263,509","287,052","218,933","135,147","83,022","12,996","588"
"제주특별자치도  (5000000000)","670,876","670,876","62,086","71,539","81,968","84,145","113,076","111,221","75,172","44,621","22,963","3,819","266","337,295","337,295","31,903","37,424","43,389","42,697","58,541","57,889","37,203","20,135","7,530","550","34","333,581","333,581","30,183","34,115","38,579","41,448","54,535","53,332","37,969","24,486","15,433","3,269","232"
